field_r         Z01	        Z02	        Z03	       Z04	       Z05	      Z06	        Z07	        Z08     	Z09	       Z10	        Z11
        0.000000        0.269520       -0.000759       -0.000000        0.037629        0.000000       -0.000083        0.000000       -0.000269        0.000000       -0.000004       -0.067552
        0.005000        0.268948       -0.000759       -0.004183        0.037299        0.000004       -0.000273       -0.000593       -0.000269       -0.000000       -0.000004       -0.067551
        0.010000        0.267237       -0.000759       -0.008375        0.036313        0.000008       -0.000843       -0.001190       -0.000269       -0.000001       -0.000004       -0.067549
        0.015000        0.264399       -0.000759       -0.012585        0.034678        0.000012       -0.001792       -0.001791       -0.000269       -0.000004       -0.000004       -0.067546
        0.020000        0.260451       -0.000759       -0.016820        0.032403        0.000016       -0.003119       -0.002402       -0.000269       -0.000009       -0.000004       -0.067541
        0.025000        0.255419       -0.000759       -0.021089        0.029504        0.000021       -0.004821       -0.003024       -0.000269       -0.000017       -0.000004       -0.067535
        0.030000        0.249337       -0.000759       -0.025401        0.025999        0.000025       -0.006897       -0.003661       -0.000269       -0.000030       -0.000004       -0.067527
        0.035000        0.242244       -0.000759       -0.029765        0.021913        0.000029       -0.009343       -0.004315       -0.000269       -0.000048       -0.000004       -0.067517
        0.040000        0.234185       -0.000759       -0.034188        0.017271        0.000033       -0.012156       -0.004989       -0.000269       -0.000072       -0.000004       -0.067506
        0.045000        0.225213       -0.000759       -0.038680        0.012103        0.000037       -0.015333       -0.005686       -0.000269       -0.000103       -0.000004       -0.067493
        0.050000        0.215385       -0.000759       -0.043248        0.006443        0.000041       -0.018867       -0.006409       -0.000269       -0.000141       -0.000004       -0.067478
        0.055000        0.204763       -0.000759       -0.047901        0.000326        0.000045       -0.022755       -0.007160       -0.000269       -0.000188       -0.000004       -0.067461
        0.060000        0.193412       -0.000759       -0.052647       -0.006208        0.000049       -0.026991       -0.007943       -0.000269       -0.000245       -0.000004       -0.067442
        0.065000        0.181405       -0.000759       -0.057495       -0.013119        0.000053       -0.031568       -0.008759       -0.000269       -0.000313       -0.000004       -0.067420
        0.070000        0.168815       -0.000759       -0.062451       -0.020364        0.000058       -0.036479       -0.009613       -0.000269       -0.000392       -0.000004       -0.067395
        0.075000        0.155719       -0.000759       -0.067525       -0.027898        0.000062       -0.041718       -0.010505       -0.000269       -0.000483       -0.000004       -0.067368
        0.080000        0.142195       -0.000758       -0.072725       -0.035676        0.000066       -0.047276       -0.011440       -0.000269       -0.000589       -0.000004       -0.067338
        0.085000        0.128324       -0.000758       -0.078057       -0.043650        0.000070       -0.053144       -0.012419       -0.000269       -0.000709       -0.000004       -0.067304
        0.090000        0.114189       -0.000758       -0.083529       -0.051773        0.000074       -0.059315       -0.013445       -0.000268       -0.000845       -0.000004       -0.067267
        0.095000        0.099871       -0.000758       -0.089150       -0.059997        0.000078       -0.065777       -0.014520       -0.000268       -0.000998       -0.000004       -0.067226
        0.100000        0.085453       -0.000758       -0.094927       -0.068275        0.000082       -0.072521       -0.015648       -0.000268       -0.001170       -0.000004       -0.067181
        0.105000        0.071017       -0.000758       -0.100866       -0.076558        0.000087       -0.079535       -0.016830       -0.000268       -0.001361       -0.000004       -0.067132
        0.110000        0.056644       -0.000758       -0.106976       -0.084799        0.000091       -0.086808       -0.018068       -0.000268       -0.001572       -0.000004       -0.067078
