field_r         Z01	        Z02	        Z03	       Z04	       Z05	      Z06	        Z07	        Z08     	Z09	       Z10	        Z11
        0.000000        0.455210       -0.001123       -0.000000        0.192733       -0.000000        0.001356        0.000000       -0.000398        0.000000       -0.000005       -0.030345
        0.005000        0.457533       -0.001123        0.002075        0.194074        0.000006        0.001184        0.001608       -0.000398       -0.000000       -0.000005       -0.030344
        0.010000        0.464501       -0.001123        0.004142        0.198098        0.000012        0.000668        0.003214       -0.000398       -0.000001       -0.000005       -0.030343
        0.015000        0.476111       -0.001123        0.006190        0.204803        0.000018       -0.000190        0.004813       -0.000398       -0.000004       -0.000005       -0.030341
        0.020000        0.492359       -0.001123        0.008211        0.214186        0.000024       -0.001389        0.006403       -0.000398       -0.000008       -0.000005       -0.030337
        0.025000        0.513238       -0.001123        0.010195        0.226244        0.000031       -0.002927        0.007980       -0.000398       -0.000016       -0.000005       -0.030333
        0.030000        0.538738       -0.001123        0.012134        0.240971        0.000037       -0.004799        0.009542       -0.000398       -0.000028       -0.000005       -0.030327
        0.035000        0.568850       -0.001122        0.014019        0.258361        0.000043       -0.007002        0.011086       -0.000398       -0.000045       -0.000005       -0.030321
        0.040000        0.603562       -0.001122        0.015840        0.278407        0.000049       -0.009531        0.012608       -0.000398       -0.000067       -0.000005       -0.030313
        0.045000        0.642858       -0.001122        0.017588        0.301102        0.000055       -0.012380        0.014106       -0.000398       -0.000095       -0.000005       -0.030304
        0.050000        0.686723       -0.001122        0.019255        0.326436        0.000061       -0.015544        0.015576       -0.000398       -0.000131       -0.000005       -0.030294
        0.055000        0.735138       -0.001122        0.020832        0.354398        0.000067       -0.019015        0.017015       -0.000398       -0.000174       -0.000005       -0.030282
        0.060000        0.788083       -0.001122        0.022309        0.384977        0.000073       -0.022785        0.018421       -0.000398       -0.000227       -0.000005       -0.030268
        0.065000        0.845536       -0.001121        0.023679        0.418160        0.000080       -0.026846        0.019791       -0.000398       -0.000289       -0.000005       -0.030253
        0.070000        0.907474       -0.001121        0.024931        0.453934        0.000086       -0.031189        0.021121       -0.000397       -0.000362       -0.000005       -0.030236
        0.075000        0.973869       -0.001121        0.026058        0.492284        0.000092       -0.035803        0.022408       -0.000397       -0.000447       -0.000005       -0.030217
        0.080000        1.044695       -0.001121        0.027050        0.533195        0.000098       -0.040679        0.023651       -0.000397       -0.000545       -0.000005       -0.030196
        0.085000        1.119922       -0.001120        0.027900        0.576648        0.000104       -0.045804        0.024845       -0.000397       -0.000656       -0.000005       -0.030173
        0.090000        1.199518       -0.001120        0.028598        0.622626        0.000110       -0.051166        0.025988       -0.000397       -0.000782       -0.000005       -0.030146
        0.095000        1.283449       -0.001120        0.029136        0.671111        0.000116       -0.056753        0.027078       -0.000397       -0.000924       -0.000005       -0.030118
        0.100000        1.371680       -0.001120        0.029507        0.722081        0.000123       -0.062551        0.028111       -0.000397       -0.001082       -0.000006       -0.030086
        0.105000        1.464174       -0.001119        0.029701        0.775515        0.000129       -0.068546        0.029084       -0.000397       -0.001259       -0.000006       -0.030051
        0.110000        1.560890       -0.001119        0.029710        0.831391        0.000135       -0.074722        0.029996       -0.000397       -0.001455       -0.000006       -0.030012
        0.115000        1.661788       -0.001119        0.029526        0.889686        0.000141       -0.081064        0.030843       -0.000397       -0.001672       -0.000006       -0.029970
        0.120000        1.766823       -0.001118        0.029142        0.950374        0.000147       -0.087556        0.031623       -0.000396       -0.001910       -0.000006       -0.029923
        0.125000        1.875952       -0.001118        0.028550        1.013430        0.000153       -0.094179        0.032333       -0.000396       -0.002172       -0.000006       -0.029873
        0.130000        1.989126       -0.001117        0.027741        1.078827        0.000160       -0.100917        0.032971       -0.000396       -0.002458       -0.000006       -0.029817
        0.135000        2.106296       -0.001117        0.026709        1.146536        0.000166       -0.107750        0.033534       -0.000396       -0.002770       -0.000006       -0.029757
        0.140000        2.227411       -0.001116        0.025445        1.216530        0.000172       -0.114660        0.034020       -0.000396       -0.003109       -0.000006       -0.029691
        0.145000        2.352418       -0.001116        0.023943        1.288777        0.000178       -0.121625        0.034427       -0.000396       -0.003478       -0.000006       -0.029619
        0.150000        2.481262       -0.001116        0.022196        1.363246        0.000185       -0.128626        0.034752       -0.000395       -0.003877       -0.000007       -0.029542
        0.155000        2.613886       -0.001115        0.020196        1.439905        0.000191       -0.135642        0.034994       -0.000395       -0.004309       -0.000007       -0.029457
        0.160000        2.750231       -0.001115        0.017936        1.518720        0.000197       -0.142649        0.035150       -0.000395       -0.004774       -0.000007       -0.029366
        0.165000        2.890235       -0.001114        0.015411        1.599657        0.000203       -0.149625        0.035217       -0.000395       -0.005276       -0.000007       -0.029267
        0.170000        3.033835       -0.001113        0.012614        1.682680        0.000210       -0.156547        0.035195       -0.000395       -0.005816       -0.000007       -0.029160
        0.175000        3.180967       -0.001113        0.009538        1.767752        0.000216       -0.163390        0.035081       -0.000395       -0.006396       -0.000007       -0.029044
        0.180000        3.331564       -0.001112        0.006179        1.854834        0.000222       -0.170130        0.034874       -0.000394       -0.007018       -0.000007       -0.028920
        0.185000        3.485556       -0.001112        0.002529        1.943888        0.000229       -0.176740        0.034572       -0.000394       -0.007684       -0.000007       -0.028786
        0.190000        3.642873       -0.001111       -0.001416        2.034874        0.000235       -0.183196        0.034173       -0.000394       -0.008397       -0.000008       -0.028641
        0.195000        3.803441       -0.001110       -0.005662        2.127750        0.000241       -0.189470        0.033676       -0.000394       -0.009158       -0.000008       -0.028485
        0.200000        3.967185       -0.001110       -0.010213        2.222474        0.000248       -0.195534        0.033080       -0.000393       -0.009972       -0.000008       -0.028318
        0.205000        4.134030       -0.001109       -0.015074        2.319002        0.000254       -0.201361        0.032383       -0.000393       -0.010839       -0.000008       -0.028138
        0.210000        4.303894       -0.001108       -0.020250        2.417289        0.000260       -0.206921        0.031584       -0.000393       -0.011764       -0.000008       -0.027946
        0.215000        4.476699       -0.001108       -0.025743        2.517290        0.000267       -0.212186        0.030683       -0.000393       -0.012748       -0.000008       -0.027739
        0.220000        4.652360       -0.001107       -0.031559        2.618957        0.000273       -0.217125        0.029679       -0.000392       -0.013795       -0.000009       -0.027518
        0.225000        4.830792       -0.001106       -0.037699        2.722244        0.000279       -0.221708        0.028571       -0.000392       -0.014907       -0.000009       -0.027281
        0.230000        5.011908       -0.001106       -0.044168        2.827099        0.000286       -0.225903        0.027358       -0.000392       -0.016089       -0.000009       -0.027027
